3.164380000000000000e+05,2.070000000000000000e+02
3.164480000000000000e+05,2.050000000000000000e+02
3.164590000000000000e+05,1.980000000000000000e+02
3.164690000000000000e+05,2.080000000000000000e+02
3.164790000000000000e+05,1.970000000000000000e+02
3.164890000000000000e+05,2.000000000000000000e+02
3.165000000000000000e+05,2.060000000000000000e+02
3.165110000000000000e+05,1.970000000000000000e+02
3.165210000000000000e+05,2.070000000000000000e+02
3.165310000000000000e+05,2.030000000000000000e+02
3.165410000000000000e+05,1.970000000000000000e+02
3.165520000000000000e+05,2.080000000000000000e+02
3.165620000000000000e+05,1.970000000000000000e+02
3.165720000000000000e+05,2.020000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00
